iter	Passed	Remaining
431	2561	403
432	2568	397
433	2574	391
434	2581	385
435	2586	379
436	2593	373
437	2599	367
438	2604	361
439	2611	356
440	2616	350
441	2622	344
442	2627	338
443	2632	332
444	2639	326
445	2646	320
446	2651	314
447	2657	308
448	2663	302
449	2669	296
450	2676	290
451	2681	284
452	2686	278
453	2693	272
454	2698	266
455	2705	261
456	2710	255
457	2715	249
458	2720	243
459	2726	237
460	2731	231
461	2739	225
462	2744	219
463	2749	213
464	2756	207
465	2762	201
466	2770	195
467	2774	189
468	2780	183
469	2786	177
470	2791	171
471	2799	166
472	2804	160
473	2810	154
474	2815	148
475	2820	142
476	2825	136
477	2832	130
478	2837	124
479	2843	118
480	2849	112
481	2854	106
482	2861	100
483	2867	94
484	2873	88
485	2881	82
486	2886	77
487	2892	71
488	2897	65
489	2903	59
490	2908	53
491	2914	47
492	2919	41
493	2927	35
494	2932	29
495	2938	23
496	2944	17
497	2950	11
498	2955	5
499	2963	0
