iter	RMSE
0	366.689413
1	338.7524101
2	313.4751546
3	290.7265249
4	270.9526791
5	253.1977592
6	237.6022569
7	223.5843647
8	210.874377
9	199.6237508
10	189.7203425
11	181.1917512
12	173.3691338
13	166.4613467
14	160.6554896
15	155.2809265
16	150.6004517
17	146.4959432
18	142.6804198
19	139.5750657
20	137.4233719
21	134.9683387
22	132.5677732
23	130.7724576
24	129.0583815
25	127.522513
26	126.1888468
27	125.1408799
28	123.9779348
29	122.9296659
30	122.0073224
31	121.1687264
32	120.5114181
33	119.5550177
34	119.0087254
35	118.3435594
36	117.7583914
37	117.1577185
38	116.6170386
39	116.0828128
40	115.5667007
41	115.1773904
42	114.733295
43	114.3166311
44	114.0390415
45	113.6636919
46	113.4123722
47	113.0209904
48	112.6476783
49	112.2777161
50	111.8819107
51	111.5441209
52	111.1504223
53	110.9142857
54	110.52693
55	110.3078949
56	109.9336642
57	109.7045266
58	109.5168221
59	109.1340295
60	108.8000083
61	108.5961195
62	108.4173668
63	108.090775
64	107.8429578
65	107.4526479
66	107.0257643
67	106.78107
68	106.5779571
69	106.3336021
70	106.220936
71	105.9928095
72	105.8339711
73	105.6976652
74	105.4529913
75	105.2639739
76	104.9806925
77	104.7751616
78	104.5675089
79	104.437733
80	104.2591029
81	104.0263378
82	103.7668721
83	103.6302665
84	103.4182234
85	103.241904
86	102.9648973
87	102.6446593
88	102.3745572
89	102.1447887
90	101.8238838
91	101.6441965
92	101.3781227
93	101.2337555
94	101.0201584
95	100.7604557
96	100.5041448
97	100.352728
98	100.1132173
99	99.91372747
100	99.63382717
101	99.44579805
102	99.26400352
103	99.04294187
104	98.85717831
105	98.68134968
106	98.49700513
107	98.14849165
108	97.93853772
109	97.76541653
110	97.55975068
111	97.24958915
112	97.01037606
113	96.76160317
114	96.61633986
115	96.44282891
116	96.25311277
117	96.0988524
118	95.85690271
119	95.68539803
120	95.46574106
121	95.24724682
122	95.04788656
123	94.87393049
124	94.63928134
125	94.48857399
126	94.27066306
127	94.12599205
128	93.89377475
129	93.76758126
130	93.55840655
131	93.39807059
132	93.21782716
133	93.05633031
134	92.8624636
135	92.6893285
136	92.45633785
137	92.23001871
138	92.0896539
139	91.98879262
140	91.81971355
141	91.68584008
142	91.58463472
143	91.40010357
144	91.2079158
145	91.09357605
146	90.98513007
147	90.78867469
148	90.6974736
149	90.51898183
150	90.33116182
151	90.08757465
152	89.92224078
153	89.7942968
154	89.61853691
155	89.44251232
156	89.2485091
157	89.1236521
158	88.91265337
159	88.79062154
160	88.66370638
161	88.58117943
162	88.44956257
163	88.37563448
164	88.28929527
165	88.15688048
166	88.01243093
167	87.90328368
168	87.80121113
169	87.64871839
170	87.57307172
171	87.43413617
172	87.37449116
173	87.20965929
174	87.12340292
175	86.94488097
176	86.67606613
177	86.5306291
178	86.40607238
179	86.27979735
180	86.08251084
181	85.99254386
182	85.88562874
183	85.81026567
184	85.68250795
185	85.62942144
186	85.4334306
187	85.276506
188	85.13582531
189	85.00514275
190	84.86857653
191	84.75401496
192	84.57784474
193	84.43873822
194	84.37489309
195	84.27516033
196	84.21102362
197	84.05831603
198	83.96887316
199	83.81820856
200	83.71576254
201	83.61458954
202	83.48156066
203	83.32512456
204	83.2147452
205	83.13948086
206	82.96461539
207	82.85673662
208	82.72359106
209	82.60108241
210	82.54330792
211	82.40509324
212	82.29280429
213	82.16099353
214	82.1067058
215	81.95531125
216	81.90760989
217	81.77967069
218	81.70793869
219	81.58772792
220	81.43277514
221	81.32214978
222	81.19277681
223	81.07071999
224	80.99059676
225	80.82649516
226	80.72545305
227	80.67415873
228	80.58201058
229	80.45627378
230	80.37492173
231	80.31692814
232	80.23112435
233	80.11301734
234	80.01643292
235	79.85018411
236	79.75436038
237	79.62904118
238	79.52086126
239	79.42400625
240	79.29334457
241	79.06813002
242	78.96621475
243	78.81624748
244	78.70370897
245	78.64520253
246	78.5509164
247	78.44207622
248	78.32172513
249	78.2601441
250	78.15581353
251	78.10768436
252	77.93645871
253	77.83249649
254	77.66438835
255	77.58669607
256	77.49040361
257	77.39885133
258	77.36827967
259	77.19835115
260	77.11018513
261	77.00903459
262	76.92355112
263	76.82238942
264	76.72024135
265	76.62751896
266	76.56291035
267	76.47540717
268	76.38776396
269	76.31256486
270	76.23514945
271	76.17280727
272	76.01074715
273	75.96070304
274	75.86422766
275	75.75814944
276	75.64987555
277	75.55360074
278	75.43805625
279	75.33622631
280	75.2648065
281	75.18501601
282	75.0935782
283	75.04857792
284	74.97800578
285	74.87116798
286	74.77417228
287	74.71544937
288	74.6713491
289	74.59527985
290	74.48293187
291	74.40360694
292	74.32153383
293	74.23806905
294	74.13637092
295	74.04932491
296	73.93660056
297	73.83244134
298	73.76291067
299	73.64784661
300	73.5362779
301	73.41210737
302	73.33600538
303	73.26868997
304	73.18574184
305	73.11722157
306	73.05245399
307	72.96949056
308	72.89452432
309	72.79154004
310	72.66461115
311	72.57059271
312	72.51189132
313	72.40905868
314	72.33481754
315	72.24231068
316	72.19476818
317	72.12228786
318	72.01642995
319	71.96570752
320	71.87033463
321	71.74297209
322	71.70271235
323	71.63336641
324	71.55881717
325	71.50265772
326	71.42031852
327	71.26299836
328	71.19045681
329	71.11489759
330	71.0271275
331	70.97286691
332	70.91975775
333	70.88601734
334	70.83081261
335	70.69788746
336	70.59760905
337	70.52049111
338	70.44820209
339	70.33315696
340	70.21637767
341	70.12448668
342	70.06816225
343	70.02249897
344	69.94399786
345	69.8249303
346	69.76080055
347	69.64743518
348	69.56204685
349	69.48083977
350	69.32167395
351	69.27091313
352	69.20464866
353	69.08009953
354	68.97289747
355	68.89341252
356	68.8138362
357	68.76195472
358	68.69700551
359	68.64551155
360	68.60087273
361	68.48600828
362	68.38174821
363	68.31125923
364	68.26793373
365	68.15876311
366	68.11714143
367	68.02224233
368	67.92780872
369	67.89094926
370	67.81559618
371	67.74939164
372	67.68723821
373	67.63913254
374	67.55859166
375	67.52847247
376	67.4123567
377	67.3351129
378	67.28959107
379	67.23920747
380	67.16346792
381	67.07411818
382	66.96503971
383	66.9213485
384	66.8623358
385	66.81749754
386	66.77297967
387	66.64654643
388	66.56818887
389	66.50349978
390	66.37695488
391	66.28795906
392	66.21905432
393	66.15031307
394	66.04619717
395	65.96568533
396	65.91379299
397	65.84738547
398	65.77029185
399	65.70978979
400	65.64011555
401	65.5669903
402	65.510891
403	65.43639701
404	65.39178158
405	65.30657019
406	65.23268847
407	65.1937935
408	65.06625988
409	65.0271127
410	64.95633276
411	64.88123388
412	64.80998291
413	64.73510512
414	64.64168544
415	64.54652039
416	64.45028111
417	64.36370281
418	64.28569728
419	64.17315681
420	64.11605465
421	64.07859524
422	64.0027278
423	63.92863641
424	63.88162095
425	63.82772752
426	63.7744079
427	63.70846239
428	63.62935269
429	63.59251737
430	63.50102426
431	63.42311636
432	63.34949745
433	63.25053465
434	63.19941534
435	63.14067723
436	63.09243468
437	63.02328905
438	62.9679254
439	62.88310927
440	62.85839076
441	62.83286377
442	62.76095325
443	62.72989629
444	62.68297211
445	62.60999084
446	62.55111928
447	62.47975525
448	62.408364
449	62.34278743
450	62.28226036
451	62.23694733
452	62.16624858
453	62.10968504
454	62.04905376
455	61.95428135
456	61.89730804
457	61.8707189
458	61.8206868
459	61.72374858
460	61.66150469
461	61.61660103
462	61.56785787
463	61.5065979
464	61.45712943
465	61.38858193
466	61.3261643
467	61.28663424
468	61.24294821
469	61.16737165
470	61.06971442
471	61.02674198
472	60.9557593
473	60.88069258
474	60.81385084
475	60.77030081
476	60.70797595
477	60.64582184
478	60.63103227
479	60.57506026
480	60.52026455
481	60.47162249
482	60.44123781
483	60.35900589
484	60.28568777
485	60.22950451
486	60.1492722
487	60.1090281
488	60.05687272
489	60.03405506
490	59.9759349
491	59.89939792
492	59.83769011
493	59.77759382
494	59.71049657
495	59.66809942
496	59.5920111
497	59.5117973
498	59.46434913
499	59.43487019
