iter	MultiClass
192	0.6345268542
193	0.6341923442
194	0.6338916528
195	0.633619962
196	0.6332582114
197	0.6329670057
198	0.6325719964
199	0.6322536489
200	0.6318278265
201	0.6316751463
202	0.6311787074
203	0.6307057017
204	0.629859865
205	0.6295651234
206	0.6288737905
207	0.6284972424
208	0.628062474
209	0.6277294021
210	0.6274515339
211	0.6271650035
212	0.6268336125
213	0.6264795707
214	0.626042719
215	0.6256281086
216	0.6252979326
217	0.6249088201
218	0.6245222978
219	0.6243882752
220	0.6241396689
221	0.6238362755
222	0.6231966706
223	0.6229592653
224	0.6226884662
225	0.6223299279
226	0.6217502883
227	0.6207673246
228	0.6205990592
229	0.6200928328
230	0.6190044364
231	0.6181127371
232	0.6172267162
233	0.616490172
234	0.6162518004
235	0.6160539867
236	0.6158658716
237	0.6151487045
238	0.614819838
239	0.6141576825
240	0.6138886904
241	0.6135390563
242	0.6133629561
243	0.6130276389
244	0.6126327956
245	0.6119687194
246	0.6112473178
247	0.6107841099
248	0.6103268653
249	0.6098147393
250	0.6094906948
251	0.6090601258
252	0.6087262099
253	0.6083391301
254	0.6080251752
255	0.6077670906
256	0.6072120943
257	0.6069673588
258	0.6068575211
259	0.606116412
260	0.6060115156
261	0.6057584196
262	0.605260038
263	0.6046386321
264	0.6041291275
265	0.6035506269
266	0.6033217373
267	0.6029909729
268	0.602771292
269	0.6026236596
270	0.6023891468
271	0.6019743641
272	0.6012706866
273	0.6010714002
274	0.6005792564
275	0.6002178104
276	0.5998021027
277	0.5995962595
278	0.5994272211
279	0.5992377849
280	0.5986778784
281	0.5982325662
282	0.5980638143
283	0.5978850697
284	0.5977046991
285	0.5973050279
286	0.5969121473
287	0.5963106591
288	0.5961730392
289	0.5958189194
290	0.5953243396
291	0.5951230139
292	0.5947274554
293	0.59444064
294	0.5936897785
295	0.5934953493
296	0.5929047177
297	0.5925847184
298	0.5923261685
299	0.5917116695
300	0.5912890862
301	0.590920056
302	0.5906484294
303	0.5899244534
304	0.5897006032
305	0.5895764022
306	0.5892120783
307	0.5890012114
308	0.5885238944
309	0.5879494621
310	0.5874111888
311	0.5872976829
312	0.5868949159
313	0.5865119866
314	0.5862745566
315	0.586053425
316	0.5857985974
317	0.5855834424
318	0.5854762572
319	0.5853240591
320	0.5851156795
321	0.5844785917
322	0.5842815305
323	0.5837058683
324	0.5834057571
325	0.5831737524
326	0.5830367233
327	0.5825997959
328	0.5823310992
329	0.5822142096
330	0.5821068874
331	0.5818799194
332	0.5814404813
333	0.5813060295
334	0.5808176636
335	0.5803564861
336	0.5801413334
337	0.5799172272
338	0.5797212609
339	0.5792299804
340	0.5788240649
341	0.5785644538
342	0.5783058992
343	0.5778943305
344	0.5777860926
345	0.5775967568
346	0.5772369294
347	0.5769999023
348	0.5768331222
349	0.5762607242
350	0.5760167644
351	0.5758338398
352	0.5756140448
353	0.5753160736
354	0.575008746
355	0.5743058915
356	0.5741379865
357	0.5739794594
358	0.573506371
359	0.5731620914
360	0.5730901565
361	0.5725619961
362	0.5723674328
363	0.5721354206
364	0.5718681662
365	0.5717045478
366	0.571335768
367	0.5707916061
368	0.5707267647
369	0.5705588251
370	0.5702577623
371	0.5698531126
372	0.5697793592
373	0.5691615693
374	0.5689980557
375	0.5688874402
376	0.5685090642
377	0.5683626859
378	0.5682125732
379	0.5677727837
380	0.5676709699
381	0.5672353698
382	0.566858123
383	0.5666804072
384	0.5665703846
385	0.5663852062
386	0.5662408254
387	0.5659777751
388	0.5655074267
389	0.5652899006
390	0.5649066623
391	0.5646766392
392	0.5643999888
393	0.5640966066
394	0.5638011047
395	0.5636879263
396	0.5634422316
397	0.5632979075
398	0.5629606075
399	0.5628324504
400	0.5626723246
401	0.5624640412
402	0.5619624368
403	0.5617567053
404	0.5612393139
405	0.5610838432
406	0.5603758468
407	0.560051308
408	0.559639969
409	0.5594776101
410	0.5593386673
411	0.55922567
412	0.5589083383
413	0.558796563
414	0.5585688305
415	0.5582744086
416	0.5580624595
417	0.5577653065
418	0.557541615
419	0.5573730072
420	0.5567687668
421	0.5565809059
422	0.5562402644
423	0.5560642375
424	0.5556495061
425	0.5551992095
426	0.5550417249
427	0.554745456
428	0.5547008317
429	0.5544407305
430	0.5541582217
431	0.5536734053
432	0.5535635338
433	0.5533034337
434	0.5531219228
435	0.5527426312
436	0.5523748072
437	0.5522398222
438	0.5517926655
439	0.5514010667
440	0.5512335546
441	0.5511641724
442	0.5509687958
443	0.5507162573
444	0.5506543185
445	0.5501591049
446	0.5500857801
447	0.5500186654
448	0.5497742795
449	0.5494541793
450	0.5492643623
451	0.5489681961
452	0.5487458021
453	0.5485937637
454	0.5484398722
455	0.5481142626
456	0.5479685768
457	0.5475967069
458	0.5472290769
459	0.5469723558
460	0.5467728896
461	0.546363299
462	0.5463091684
463	0.5461773978
464	0.5456503431
465	0.5453560821
466	0.5451823112
467	0.5450514736
468	0.5449420258
469	0.5447584101
470	0.5441960375
471	0.5438874703
472	0.5437534792
473	0.5434076696
474	0.5432991961
475	0.5430997434
476	0.5430068294
477	0.5427968031
478	0.54267553
479	0.5425378264
480	0.5423421848
481	0.5421856396
482	0.5419502477
483	0.5418576314
484	0.541790533
485	0.5416645107
486	0.5412212292
487	0.5407819302
488	0.5405598702
489	0.5402664301
490	0.5401719328
491	0.539801511
492	0.5396497373
493	0.5395977167
494	0.5392853891
495	0.5390238852
496	0.5388767614
497	0.5387281084
498	0.5385495489
499	0.5382281447
500	0.5381606814
501	0.5377972468
502	0.5375334959
503	0.5373919039
504	0.5372613456
505	0.5369923225
506	0.5368295854
507	0.5365681972
508	0.5363327405
509	0.5361810139
510	0.535966055
511	0.5357574627
512	0.5356023714
513	0.5354639127
514	0.5348611993
515	0.5345115902
516	0.5343951626
517	0.5342906955
518	0.53418234
519	0.5339250416
520	0.5336201096
521	0.5335319571
522	0.5332881979
523	0.5328838787
524	0.5328131707
525	0.5326023975
526	0.5322031068
527	0.5318622194
528	0.5314841818
529	0.5313945462
530	0.5313060628
531	0.5310468676
532	0.5309431547
533	0.530725411
534	0.5304764401
535	0.5302005026
536	0.5296666629
537	0.5293455618
538	0.5291549655
539	0.5288274884
540	0.528666106
541	0.5285433618
542	0.5284670453
543	0.5283068846
544	0.5282196127
545	0.5279046185
546	0.5277738403
547	0.5276057589
548	0.5274698752
549	0.527180893
550	0.5267825878
551	0.5266178014
552	0.5264320776
553	0.5262406034
554	0.5260522691
555	0.5259263279
556	0.5256387338
557	0.5255342285
558	0.525419268
559	0.5251816845
560	0.5250978548
561	0.524774538
562	0.5245781381
563	0.524449856
564	0.524102472
565	0.5238190236
566	0.5237450577
567	0.5236704106
568	0.5234643321
569	0.5234319054
570	0.5233770661
571	0.5230579061
572	0.5227429265
573	0.5226999048
574	0.5225761322
575	0.5222640397
576	0.5221068307
577	0.5218937133
578	0.5216531237
579	0.5215298036
580	0.5214789226
581	0.5210663888
582	0.5209314448
583	0.5207698862
584	0.520367023
585	0.5201753197
586	0.5200214983
587	0.5199281478
588	0.519841295
589	0.5197266448
590	0.5196480615
591	0.5195442772
592	0.5193066795
593	0.5191463136
594	0.5189912533
595	0.5188996005
596	0.5188133362
597	0.5186485364
598	0.5183852798
599	0.5183057283
600	0.518265059
601	0.5182104652
602	0.5179888939
603	0.5176942612
604	0.5172744607
605	0.5169814027
606	0.5168481744
607	0.5167410551
608	0.5164054141
609	0.5162000169
610	0.5160565275
611	0.5157877384
612	0.5155420956
613	0.5154331151
614	0.5153112499
615	0.515107491
616	0.5147930385
617	0.5147007342
618	0.5145523776
619	0.5142947959
620	0.5140979851
621	0.5136602003
622	0.5134858893
623	0.5132360909
624	0.5131684898
625	0.5131383254
626	0.5130164436
627	0.5129336638
628	0.5126954072
629	0.512462522
630	0.5121983381
631	0.5121108263
632	0.5118957167
633	0.5117266487
634	0.5114435009
635	0.5111340445
636	0.5110376077
637	0.5109202097
638	0.5106239693
639	0.5105056434
640	0.5103878693
641	0.510294167
642	0.5101634309
643	0.5099269479
644	0.5098022846
645	0.5097305589
646	0.5094961823
647	0.5092043251
648	0.508974748
649	0.5086075909
650	0.5085647407
651	0.508390202
652	0.5083262743
653	0.5082599083
654	0.5082013984
655	0.5079061684
656	0.5076048367
657	0.5074716163
658	0.5072069489
659	0.5068741789
660	0.5067481308
661	0.5066839628
662	0.5065199615
663	0.5063924313
664	0.5063238198
665	0.5061888569
666	0.5059107136
667	0.5057106285
668	0.5056258995
669	0.5054021937
670	0.5053214009
671	0.5050553335
672	0.5047082521
673	0.5046091077
674	0.5043126208
675	0.5042265551
676	0.5040429074
677	0.5039634722
678	0.5038751684
679	0.5037981169
680	0.5036715089
681	0.5035998776
682	0.5033050993
683	0.5029944346
684	0.50292701
685	0.5027353452
686	0.5026356534
687	0.5024457572
688	0.5022832131
689	0.5020398351
690	0.5019235538
691	0.5016149334
692	0.5015077444
693	0.5014104416
694	0.5012046834
695	0.5010580002
696	0.5007700032
697	0.5006184727
698	0.5004619924
699	0.500139552
700	0.4999751247
701	0.4998410202
702	0.4997011511
703	0.4994474136
704	0.4991287012
705	0.4990252247
706	0.4987513351
707	0.498572695
708	0.4984754223
709	0.498306944
710	0.4979462176
711	0.4978175765
712	0.4976068121
713	0.4973587317
714	0.4972859269
715	0.4971786447
716	0.4970982943
717	0.4969029303
718	0.4968468269
719	0.4966532118
720	0.4964268388
721	0.4962996806
722	0.496129992
723	0.4960809378
724	0.4958517106
725	0.4956288269
726	0.4955424053
727	0.4953784771
728	0.4952143746
729	0.4950581173
730	0.4949927575
731	0.4948174802
732	0.4947485241
733	0.4946593909
734	0.4946182374
735	0.4943881662
736	0.4943040269
737	0.4940389572
738	0.4939447653
739	0.4937869748
740	0.493574947
741	0.4934998276
742	0.4933965408
743	0.4933098295
744	0.4931747054
745	0.4930240712
746	0.4929643197
747	0.4928377635
748	0.4926899697
749	0.4926011549
750	0.4924462095
751	0.4923463193
752	0.4922239537
753	0.4921123005
754	0.4919010381
755	0.4917614206
756	0.49158538
757	0.4913623619
758	0.4911332354
759	0.4910193846
760	0.4907949831
761	0.4907451127
762	0.4906009871
763	0.4904654515
764	0.4902211014
765	0.4900870594
766	0.4898578761
767	0.4898237395
768	0.489520461
769	0.4894037674
770	0.489087822
771	0.4888879466
772	0.4887143594
773	0.4885391866
774	0.4883690982
775	0.4882646381
776	0.487964556
777	0.4878786836
778	0.4876597602
779	0.4875610066
780	0.4874597634
781	0.4872253117
782	0.4870986882
783	0.4869807566
784	0.4868573347
785	0.4867101579
786	0.4865865648
787	0.4864986768
788	0.4864624863
789	0.486388943
790	0.4862692217
791	0.4860735941
792	0.4860330455
793	0.4859501133
794	0.4857627429
795	0.485609587
796	0.4855030392
797	0.4854033238
798	0.485192187
799	0.4851246644
800	0.4848605779
801	0.4846375001
802	0.4844683186
803	0.4843264238
804	0.4842619949
805	0.4841456966
806	0.4839566197
807	0.4838618934
808	0.4837508087
809	0.4835561172
810	0.4834327497
811	0.4833777582
812	0.483351543
813	0.4831990793
814	0.4831353587
815	0.482961389
816	0.482825163
817	0.4825560616
818	0.482383948
819	0.4822401909
820	0.4821386778
821	0.4820388243
822	0.4819542167
823	0.4818715075
824	0.481722481
825	0.481549139
826	0.48150874
827	0.481340805
828	0.4811228317
829	0.4809389075
830	0.4808765988
831	0.4805989956
832	0.4805642315
833	0.4804381739
834	0.4802854667
835	0.4802082162
836	0.4801147249
837	0.4800691719
838	0.4799355979
839	0.4797075116
840	0.4795720348
841	0.4794824237
842	0.4791898878
843	0.4789230678
844	0.4787911361
845	0.4786949039
846	0.4786063586
847	0.4784732972
848	0.4783073694
849	0.478207654
850	0.4780385276
851	0.4778164949
852	0.4777209472
853	0.4773713786
854	0.4772198382
855	0.4771701973
856	0.4769182922
857	0.4769046541
858	0.4767800291
859	0.4767185424
860	0.4766272373
861	0.4763786387
862	0.4762656661
863	0.4761876247
864	0.4761039441
865	0.4760179303
866	0.4757592891
867	0.4755111162
868	0.4752998172
869	0.475094465
870	0.4748879988
871	0.4748438603
872	0.4747150691
873	0.4745795595
874	0.4745151013
875	0.4743462712
876	0.4742714649
877	0.4741881499
878	0.4741245407
879	0.4740863554
880	0.4739227846
881	0.4737853177
882	0.473569681
883	0.4733781329
884	0.4731447913
885	0.4730553256
886	0.4729872687
887	0.47290344
888	0.4728398983
889	0.4726511092
890	0.472579138
891	0.4725234383
892	0.4724533763
893	0.4723542477
894	0.4721357616
895	0.4719842333
896	0.4717524538
897	0.4716517522
898	0.4714848309
899	0.4713105846
900	0.4710915287
901	0.4709817267
902	0.4708958872
903	0.4706657034
904	0.470614014
905	0.4704841892
906	0.4703122198
907	0.4701558803
908	0.4699209348
909	0.469862862
910	0.4698161703
911	0.4696943289
912	0.4695215704
913	0.4694557289
914	0.469352165
915	0.4692758972
916	0.469113632
917	0.4689901529
918	0.4689132842
919	0.4688763189
920	0.4687056129
921	0.4686214863
922	0.4685712283
923	0.468489222
924	0.4684153213
925	0.4683478812
926	0.4681752949
927	0.4680268177
928	0.4679092597
929	0.4678356953
930	0.4677677632
931	0.4676637031
932	0.4675968339
933	0.4674650986
934	0.4673766961
935	0.4672094162
936	0.4670695723
937	0.4669332938
938	0.4668262879
939	0.466769799
940	0.4666524178
941	0.4664151235
942	0.4662823773
943	0.4662058546
944	0.4661512323
945	0.4660509714
946	0.4658800701
947	0.4658535572
948	0.4657214827
949	0.4655792248
950	0.4654144479
951	0.4652295688
952	0.4651842681
953	0.4651024567
954	0.465058963
955	0.4649266163
956	0.464866318
957	0.4648059475
958	0.4646992805
959	0.4646383673
960	0.4644962529
961	0.46444998
962	0.4643141667
963	0.4642030306
964	0.4639946763
965	0.4638985608
966	0.4638458036
967	0.4635445363
968	0.4634746401
969	0.4632744216
970	0.4631273827
971	0.4630513864
972	0.4629055326
973	0.4628020113
974	0.4627597676
975	0.4626716782
976	0.462555343
977	0.4624700881
978	0.4623294291
979	0.4621253143
980	0.4620050669
981	0.4618714355
982	0.4617563567
983	0.4616504275
984	0.4615561979
985	0.4614323941
986	0.4613634231
987	0.4612297276
988	0.4611548038
989	0.4609961368
990	0.4608483407
991	0.460811965
992	0.4607406456
993	0.4605898855
994	0.4604329816
995	0.4603745332
996	0.4602396862
997	0.4601449683
998	0.4600428844
999	0.4598842584
