iter	Passed	Remaining
411	4208	6006
412	4218	5995
413	4228	5984
414	4239	5975
415	4248	5963
416	4257	5952
417	4267	5942
418	4278	5932
419	4289	5923
420	4300	5914
421	4311	5905
422	4324	5898
423	4332	5886
424	4343	5877
425	4356	5869
426	4365	5858
427	4376	5848
428	4385	5837
429	4394	5825
430	4404	5814
431	4414	5803
432	4423	5793
433	4434	5782
434	4443	5771
435	4455	5762
436	4468	5757
437	4478	5745
438	4489	5737
439	4501	5728
440	4511	5718
441	4522	5708
442	4533	5700
443	4543	5689
444	4552	5678
445	4564	5669
446	4573	5657
447	4582	5646
448	4592	5635
449	4602	5624
450	4611	5613
451	4622	5603
452	4633	5594
453	4643	5584
454	4652	5573
455	4663	5563
456	4672	5552
457	4682	5541
458	4694	5532
459	4703	5521
460	4715	5513
461	4726	5503
462	4735	5492
463	4745	5481
464	4755	5471
465	4766	5462
466	4777	5452
467	4786	5440
468	4795	5429
469	4805	5418
470	4816	5409
471	4828	5400
472	4837	5389
473	4847	5379
474	4858	5369
475	4867	5358
476	4877	5347
477	4888	5338
478	4897	5327
479	4908	5317
480	4917	5305
481	4927	5295
482	4937	5285
483	4946	5273
484	4956	5263
485	4965	5251
486	4978	5244
487	4990	5235
488	5002	5227
489	5010	5215
490	5020	5204
491	5031	5195
492	5041	5184
493	5051	5173
494	5059	5161
495	5070	5151
496	5079	5140
497	5089	5129
498	5099	5120
499	5109	5109
500	5119	5098
501	5130	5089
502	5139	5077
503	5148	5067
504	5157	5055
505	5168	5046
506	5178	5035
507	5188	5025
508	5199	5015
509	5208	5004
510	5219	4994
511	5230	4985
512	5238	4973
513	5249	4963
514	5260	4953
515	5271	4944
516	5281	4934
517	5290	4923
518	5300	4912
519	5311	4902
520	5319	4890
521	5329	4879
522	5337	4868
523	5350	4860
524	5359	4849
525	5368	4837
526	5380	4829
527	5392	4820
528	5403	4810
529	5414	4801
530	5425	4792
531	5435	4781
532	5446	4771
533	5456	4761
534	5465	4750
535	5476	4740
536	5485	4729
537	5497	4720
538	5507	4710
539	5517	4699
540	5529	4691
541	5539	4681
542	5548	4669
543	5559	4659
544	5568	4648
545	5578	4638
546	5589	4628
547	5598	4617
548	5610	4609
549	5623	4600
550	5633	4590
551	5642	4579
552	5653	4569
553	5661	4557
554	5672	4548
555	5682	4537
556	5692	4527
557	5704	4518
558	5713	4507
559	5724	4497
560	5734	4487
561	5743	4476
562	5754	4466
563	5763	4455
564	5774	4445
565	5787	4437
566	5795	4426
567	5805	4415
568	5816	4406
569	5824	4394
570	5834	4383
571	5843	4372
572	5854	4363
573	5864	4352
574	5872	4340
575	5882	4330
576	5890	4318
577	5902	4309
578	5913	4299
579	5921	4288
580	5931	4277
581	5942	4267
582	5952	4257
583	5962	4247
584	5971	4236
585	5981	4226
586	5991	4215
587	6000	4204
588	6011	4194
589	6020	4183
590	6030	4173
591	6039	4162
592	6050	4152
593	6060	4142
594	6069	4131
595	6080	4121
596	6089	4110
597	6100	4101
598	6113	4092
599	6121	4081
600	6131	4070
601	6141	4059
602	6150	4049
603	6161	4039
604	6173	4030
605	6182	4019
606	6195	4011
607	6206	4001
608	6215	3990
609	6228	3981
610	6239	3972
611	6254	3965
612	6268	3957
613	6280	3948
614	6292	3939
615	6303	3929
616	6315	3920
617	6327	3911
618	6340	3902
619	6350	3892
620	6361	3882
621	6375	3874
622	6387	3865
623	6398	3855
