iter	Passed	Remaining
398	73999	111463
399	74180	111270
400	74364	111083
401	74552	110900
402	74734	110710
403	74921	110528
404	75092	110320
405	75277	110134
406	75461	109946
407	75649	109766
408	75827	109569
409	76016	109389
410	76184	109179
411	76362	108983
412	76545	108795
413	76734	108614
414	76925	108437
415	77125	108272
416	77305	108079
417	77495	107899
418	77678	107711
419	77868	107533
420	78042	107331
421	78231	107150
422	78412	106960
423	78601	106779
424	78784	106590
425	78968	106403
426	79150	106213
427	79354	106053
428	79537	105864
429	79723	105680
430	79904	105488
431	80085	105298
432	80257	105094
433	80444	104911
434	80628	104724
435	80812	104537
436	80990	104342
437	81170	104150
438	81345	103951
439	81533	103770
440	81716	103581
441	81906	103402
442	82094	103220
443	82288	103045
444	82470	102856
445	82657	102673
446	82839	102484
447	83024	102297
448	83205	102107
449	83392	101924
450	83580	101741
451	83769	101560
452	83949	101368
453	84128	101176
454	84297	100972
455	84484	100788
456	84671	100605
457	84863	100428
458	85041	100234
459	85221	100042
460	85394	99842
461	85565	99641
462	85747	99452
463	85939	99275
464	86129	99095
465	86314	98909
466	86495	98720
467	86678	98531
468	86857	98339
469	87032	98143
470	87219	97960
471	87403	97773
472	87585	97584
473	87770	97399
474	87959	97217
475	88135	97023
476	88317	96834
477	88503	96650
478	88688	96464
479	88874	96280
480	89053	96089
481	89229	95894
482	89414	95708
483	89600	95524
484	89780	95333
485	89966	95149
486	90136	94948
487	90326	94768
488	90511	94583
489	90701	94403
490	90885	94217
491	91071	94032
492	91253	93844
493	91438	93659
494	91617	93468
495	91812	93293
496	91982	93093
497	92165	92906
498	92350	92720
499	92537	92537
500	92721	92351
501	92911	92171
502	93091	91981
503	93276	91796
504	93456	91606
505	93641	91421
506	93823	91232
507	94000	91039
508	94170	90839
509	94363	90663
510	94550	90479
511	94741	90300
512	94926	90115
513	95111	89929
514	95289	89738
515	95476	89555
516	95655	89364
517	95840	89180
518	96012	88982
519	96197	88797
520	96382	88613
521	96568	88429
522	96751	88242
523	96938	88058
524	97115	87866
525	97305	87685
526	97486	87496
527	97674	87315
528	97856	87127
529	98040	86941
530	98216	86748
531	98399	86562
532	98571	86365
533	98764	86187
534	98952	86005
535	99145	85827
536	99328	85640
537	99514	85456
538	99695	85267
539	99880	85083
540	100050	84885
541	100240	84705
542	100424	84519
543	100610	84335
544	100790	84145
545	100969	83956
546	101138	83758
547	101329	83578
548	101513	83392
549	101705	83213
550	101893	83031
551	102079	82847
552	102262	82660
553	102454	82481
554	102638	82295
555	102823	82111
556	102991	81912
557	103180	81730
558	103367	81547
559	103553	81363
560	103734	81175
561	103934	81002
562	104113	80812
563	104307	80635
564	104510	80463
565	104693	80277
566	104871	80087
567	105042	79891
568	105228	79707
569	105413	79522
570	105599	79338
571	105788	79156
572	105970	78969
573	106160	78788
574	106341	78599
575	106529	78417
576	106710	78229
577	106891	78042
578	107058	77843
579	107246	77661
580	107434	77478
581	107619	77293
582	107798	77104
583	107979	76916
584	108151	76723
585	108337	76539
586	108520	76352
587	108709	76170
588	108879	75975
589	109066	75792
590	109247	75604
591	109434	75420
592	109615	75233
593	109805	75051
594	109980	74860
595	110167	74677
596	110351	74492
597	110546	74313
598	110725	74124
599	110905	73937
600	111091	73753
601	111285	73574
602	111475	73392
603	111658	73206
604	111834	73016
605	112018	72830
606	112202	72644
607	112390	72462
608	112576	72278
609	112762	72094
610	112944	71907
611	113130	71723
612	113309	71534
613	113494	71349
614	113677	71164
615	113858	70976
616	114044	70792
617	114217	70600
618	114403	70416
619	114593	70234
620	114775	70048
621	114960	69863
622	115136	69673
623	115310	69481
624	115491	69295
625	115681	69113
626	115861	68925
627	116042	68738
628	116219	68549
629	116401	68362
630	116580	68174
631	116763	67989
632	116936	67797
633	117108	67605
634	117290	67418
635	117480	67237
636	117672	67056
637	117860	66874
638	118043	66688
639	118228	66503
640	118407	66315
641	118595	66132
642	118772	65943
643	118950	65755
644	119121	65562
645	119299	65374
646	119467	65180
647	119653	64997
648	119840	64813
649	120023	64627
650	120202	64440
651	120383	64253
652	120564	64067
653	120756	63886
654	120924	63693
655	121110	63509
656	121299	63326
657	121483	63141
658	121661	62953
659	121835	62763
660	122018	62578
661	122206	62395
662	122386	62208
663	122573	62025
664	122752	61837
665	122920	61644
666	123102	61458
667	123295	61278
668	123475	61091
669	123659	60906
670	123831	60716
671	124016	60531
672	124197	60345
673	124381	60160
674	124560	59973
675	124745	59789
676	124929	59604
677	125116	59421
678	125297	59234
679	125491	59054
680	125672	58868
681	125851	58681
682	126026	58492
683	126220	58312
684	126437	58142
685	126626	57960
686	126810	57775
687	126995	57591
688	127179	57406
689	127360	57219
690	127546	57036
691	127728	56850
692	127911	56664
693	128088	56476
694	128272	56292
695	128451	56105
696	128637	55921
697	128804	55728
698	128993	55546
699	129178	55362
700	129367	55179
701	129546	54992
702	129735	54809
703	129918	54624
704	130102	54440
705	130285	54254
706	130471	54070
707	130651	53884
708	130824	53695
709	131001	53507
710	131185	53322
711	131366	53137
712	131570	52960
713	131748	52773
714	131934	52589
715	132114	52403
716	132301	52219
717	132480	52032
718	132667	51849
719	132848	51663
720	133034	51479
721	133216	51293
722	133402	51109
723	133579	50922
724	133761	50737
725	133943	50551
726	134128	50367
727	134314	50183
728	134500	49999
729	134690	49816
730	134855	49625
731	135035	49439
732	135216	49253
733	135390	49065
734	135580	48882
735	135760	48696
736	135931	48507
737	136115	48322
738	136307	48141
739	136488	47955
740	136671	47770
741	136836	47579
742	137015	47392
743	137178	47201
744	137366	47018
745	137550	46833
746	137738	46650
747	137918	46464
748	138106	46281
749	138282	46094
750	138467	45909
751	138644	45723
752	138823	45536
753	139001	45350
754	139189	45167
755	139371	44982
756	139551	44796
757	139726	44609
758	139911	44425
759	140092	44239
760	140278	44055
761	140459	43870
762	140641	43685
763	140809	43496
764	140993	43311
765	141176	43127
766	141362	42943
767	141544	42758
768	141729	42574
769	141906	42387
770	142095	42204
771	142275	42019
772	142469	41837
773	142656	41654
774	142828	41466
775	143013	41282
776	143202	41099
777	143380	40913
778	143564	40728
779	143736	40541
780	143924	40357
781	144118	40176
782	144309	39993
783	144498	39810
784	144693	39629
785	144879	39445
786	145070	39263
787	145261	39080
788	145464	38901
789	145645	38715
790	145819	38528
791	145998	38342
792	146183	38158
793	146374	37976
794	146590	37800
795	146798	37621
796	147008	37443
797	147185	37257
798	147356	37069
799	147533	36883
800	147720	36699
801	147900	36514
802	148093	36331
803	148273	36146
804	148462	35962
805	148642	35777
806	148817	35590
807	148986	35402
808	149163	35216
809	149339	35030
810	149521	34845
811	149697	34659
812	149869	34471
813	150049	34286
814	150237	34102
815	150418	33917
816	150604	33733
817	150783	33548
818	150968	33364
819	151154	33180
820	151346	32997
821	151527	32812
822	151713	32628
823	151891	32442
824	152076	32258
825	152255	32073
826	152439	31888
827	152617	31703
828	152797	31517
829	152980	31333
830	153170	31150
831	153352	30965
832	153544	30782
833	153722	30597
834	153906	30412
835	154085	30227
836	154273	30043
837	154453	29858
838	154635	29673
839	154807	29487
840	154998	29304
841	155189	29121
842	155372	28936
843	155553	28751
844	155732	28566
845	155896	28378
846	156082	28194
847	156263	28009
848	156447	27825
849	156625	27639
850	156810	27455
851	156990	27270
852	157174	27086
853	157355	26901
854	157543	26717
855	157722	26532
856	157904	26348
857	158076	26161
858	158270	25979
859	158453	25794
860	158670	25615
861	158852	25431
862	159036	25246
863	159217	25061
864	159400	24877
865	159576	24692
866	159751	24506
867	159938	24322
868	160124	24138
869	160303	23953
870	160489	23769
871	160654	23582
872	160836	23397
873	161021	23213
874	161211	23030
875	161393	22845
876	161580	22661
877	161762	22477
878	161951	22293
879	162133	22109
880	162318	21924
881	162499	21740
882	162686	21556
883	162865	21371
884	163048	21187
885	163227	21002
886	163413	20818
887	163594	20633
888	163769	20448
889	163979	20267
890	164176	20084
891	164369	19901
892	164547	19716
893	164734	19532
894	164915	19347
895	165102	19163
896	165281	18978
897	165467	18794
898	165639	18609
899	165822	18424
900	166005	18240
901	166198	18057
902	166389	17873
903	166576	17689
904	166738	17502
905	166909	17317
906	167085	17132
907	167265	16947
908	167449	16763
909	167634	16579
910	167812	16394
911	167994	16209
912	168171	16025
913	168353	15840
914	168532	15656
915	168705	15470
916	168884	15286
917	169069	15102
918	169252	14917
919	169435	14733
920	169614	14548
921	169794	14364
922	169976	14180
923	170165	13996
924	170345	13811
925	170528	13627
926	170703	13442
927	170877	13257
928	171056	13073
929	171229	12888
930	171398	12702
931	171587	12519
932	171767	12334
933	171953	12150
934	172131	11966
935	172313	11782
936	172492	11597
937	172670	11413
938	172846	11228
939	173026	11044
940	173203	10859
941	173383	10675
942	173565	10491
943	173754	10307
944	173938	10123
945	174129	9939
946	174311	9755
947	174501	9571
948	174680	9387
949	174863	9203
950	175040	9018
951	175223	8834
952	175403	8650
953	175577	8466
954	175762	8281
955	175947	8098
956	176128	7913
957	176313	7729
958	176495	7545
959	176671	7361
960	176854	7177
961	177041	6993
962	177223	6809
963	177408	6625
964	177575	6440
965	177761	6256
966	177939	6072
967	178124	5888
968	178304	5704
969	178488	5520
970	178652	5335
971	178835	5151
972	179023	4967
973	179210	4783
974	179389	4599
975	179572	4415
976	179742	4231
977	179925	4047
978	180106	3863
979	180293	3679
980	180477	3495
981	180648	3311
982	180828	3127
983	181014	2943
984	181195	2759
985	181379	2575
986	181557	2391
987	181741	2207
988	181915	2023
989	182101	1839
990	182290	1655
991	182477	1471
992	182649	1287
993	182821	1103
994	183002	919
995	183187	735
996	183367	551
997	183553	367
998	183739	183
999	183914	0
