iter	Logloss
0	0.6714150063
1	0.6529135783
2	0.6386342775
3	0.6216022514
4	0.6086948405
5	0.5950831768
6	0.5848459256
7	0.5748282568
8	0.5659797309
9	0.5574229072
10	0.5500514507
11	0.5447692496
12	0.5391041127
13	0.5340849437
14	0.5292071253
15	0.5254245519
16	0.5216183089
17	0.5178554045
18	0.5151794108
19	0.5128935759
20	0.5101432397
21	0.507520697
22	0.5048485926
23	0.5027392792
24	0.500761093
25	0.498951983
26	0.4978984098
27	0.4964977386
28	0.4955171188
29	0.4939307026
30	0.4926869395
31	0.49168165
32	0.490717421
33	0.4899782196
34	0.4893413084
35	0.4878916868
36	0.4865888609
37	0.4856253542
38	0.4846775161
39	0.4841283935
40	0.4833640778
41	0.4829918657
42	0.4821218705
43	0.4815140184
44	0.4809120004
45	0.4805702364
46	0.4799672182
47	0.4796111747
48	0.479319139
49	0.4788027981
50	0.4783896921
51	0.4779616398
52	0.4776286546
53	0.4772667771
54	0.4768681728
55	0.4764956828
56	0.4762289835
57	0.4760264588
58	0.4757873185
59	0.4755030059
60	0.4750869551
61	0.4748102546
62	0.4746128971
63	0.4742160709
64	0.4738075765
65	0.4736642256
66	0.4733555768
67	0.4730691529
68	0.472947138
69	0.472780062
70	0.4727551701
71	0.4725186412
72	0.4723247841
73	0.4720805876
74	0.4718630055
75	0.4716090856
76	0.4715147407
77	0.4714211737
78	0.4712395404
79	0.4710616298
80	0.4709205014
81	0.4706585249
82	0.4704748358
83	0.4702254164
84	0.4698968763
85	0.4696290102
86	0.469394426
87	0.4692060141
88	0.469016602
89	0.4688326351
90	0.4687005078
91	0.4684240852
92	0.4683044594
93	0.4682970696
94	0.4680207025
95	0.4678154552
96	0.4676461568
97	0.4674876929
98	0.4674007379
99	0.4672439965
100	0.467185656
101	0.4670855327
102	0.4668944538
103	0.4667257109
104	0.4662925469
105	0.466150974
106	0.4659748969
107	0.4659129727
108	0.4658379357
109	0.4656396893
110	0.4655350098
111	0.4652306393
112	0.465069314
113	0.4649573281
114	0.4648299792
115	0.4646442343
116	0.4645697808
117	0.4644784918
118	0.4644584338
119	0.4644150118
120	0.4643410306
121	0.4642419907
122	0.4641800109
123	0.4640697474
124	0.4639389536
125	0.4638268566
126	0.4637516808
127	0.4636612253
128	0.4635649913
129	0.4635371268
130	0.4633788574
131	0.4632639823
132	0.4630100901
133	0.4629169954
134	0.4627636433
135	0.4624543555
136	0.4623840414
137	0.4620972008
138	0.4617773839
139	0.4616590639
140	0.4614702353
141	0.4614025048
142	0.4612981031
143	0.4611236096
144	0.4610282368
145	0.4609338364
146	0.4607020302
147	0.4602940359
148	0.4602173043
149	0.4602088311
150	0.4601105691
151	0.4600762315
152	0.4600312538
153	0.4599369367
154	0.4597991143
155	0.4597086311
156	0.4596567636
157	0.4595685028
158	0.4593430308
159	0.4591076687
160	0.4589721522
161	0.4588577215
162	0.4586837002
163	0.4586007734
164	0.4585336819
165	0.4584499772
166	0.4583834135
167	0.4583832746
168	0.4582276167
169	0.457997533
170	0.457710998
171	0.4576605474
172	0.4576375168
173	0.4574856371
174	0.4574174899
175	0.4572749169
176	0.4571551245
177	0.4569746858
178	0.4567157097
179	0.4565418829
180	0.4564368145
181	0.4564368701
182	0.4561683372
183	0.4561332774
184	0.4559358366
185	0.4557423685
186	0.4556437731
187	0.4555018391
188	0.4553674338
189	0.4552929803
190	0.4550115847
191	0.4549396315
192	0.4548694563
193	0.4548007812
194	0.4546132861
195	0.4543099712
196	0.4541743435
197	0.4536727822
198	0.4533369078
199	0.4530015335
